,Track URI,Track Name,Artist Name,Album Name,Artist URI,Album URI,Louvain Community,Walktrap Community,Infomap Community,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,popularity,duration_ms,arist_URI,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_popularity,genres
10,spotify:track:43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp,American Fool,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,spotify:album:4gouGcdQn9OvjX42xnWrF0,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,74,254493,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,0.0365,0.811,0.41,6.63e-06,9,0.0799,-8.214,1,0.0391,103.965,4,0.626,65,"['Country', 'singer-songwriter', 'Mellow', 'Rock']"
11,spotify:track:4CJVkjo5WpmUAKp3R44LNb,Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,spotify:album:5rtOJsiDDjA9V5306cyTRS,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,0,281147,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,0.181,0.597,0.605,0.000331,7,0.118,-12.013,1,0.0255,97.782,4,0.886,72,['Rock']
12,spotify:track:5MxNLUsfh7uzROypsoO5qe,Dream On,Aerosmith,Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,spotify:album:19lEZSnCCbVEkKchoPQWDZ,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,8,266960,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,0.388,0.307,0.433,9.08e-05,1,0.332,-10.057,1,0.029,160.9,4,0.224,75,['Rock']
13,spotify:track:5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,Nevermind,spotify:artist:6olE6TJLqED3rqDCT0FyPh,spotify:album:2guirTSEqLizK7j9i1MTTZ,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,79,301920,spotify:artist:6olE6TJLqED3rqDCT0FyPh,2.55e-05,0.502,0.912,0.000173,1,0.106,-4.556,1,0.0564,116.761,4,0.72,81,"['permanent wave', 'Rock']"
14,spotify:track:5xS9hkTGfxqXyxX6wWWTt4,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,Greatest Hits,spotify:artist:4tX2TplrkIP4v05BNC903e,spotify:album:6E2lDnV61v2HJaNCjLgOIg,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,0,272133,spotify:artist:4tX2TplrkIP4v05BNC903e,0.0267,0.451,0.669,0.0,10,0.153,-9.033,1,0.0651,169.632,4,0.523,67,"['singer-songwriter', 'Mellow', 'Rock']"
15,spotify:track:6ToM0uwxtPKo9CMpbPGYvM,Break On Through (To The Other Side),The Doors,The Doors,spotify:artist:22WZ7M8sxp5THdruNY3gXt,spotify:album:1jWmEhn3ggaL6isoyLfwBn,0,8,8,0.055970149253731345,0.010487776477966709,0.28077527501309585,1.624035936163984e-05,73,145867,spotify:artist:22WZ7M8sxp5THdruNY3gXt,0.2,0.421,0.751,0.0,9,0.17,-9.584,1,0.0472,89.839,4,0.789,73,['Rock']
16,spotify:track:6rdEEYHsLavlklAypD5cre,Runnin' Down A Dream,Tom Petty,Full Moon Fever,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,spotify:album:7ihweYjA1ck66NTB4bujGl,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,0,262373,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,0.000451,0.453,0.871,0.298,9,0.43,-12.004,1,0.0345,170.011,4,0.748,69,"['singer-songwriter', 'Mellow', 'Rock']"
17,spotify:track:72MoMtcC0fmMPbyOh8L5nZ,Cherry Pie,Warrant,Cherry Pie,spotify:artist:7HLvzuM9p11k9lUQfSM4Rq,spotify:album:4RKOkS1b88Nm23M1XJxBEy,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,37,200267,spotify:artist:7HLvzuM9p11k9lUQfSM4Rq,0.0493,0.594,0.923,0.0,7,0.348,-6.213,1,0.0522,88.603,4,0.486,55,"['glam metal', 'Rock']"
18,spotify:track:7MooGz4ZPE4bNxjFegR6Jx,You Don't Know How It Feels,Tom Petty,Wildflowers,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,spotify:album:3ZGUBwDiY5HPOcWv4SBPQg,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,63,289440,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,0.119,0.765,0.502,0.0011,9,0.171,-7.393,1,0.0321,144.204,4,0.836,69,"['singer-songwriter', 'Mellow', 'Rock']"
19,spotify:track:7fURZRPkB2S70sYR1naKTK,Black Hole Sun,Soundgarden,Superunknown,spotify:artist:5xUf6j4upBrXZPg6AI4MRK,spotify:album:1xHWwGSoF1DNE4hqgBRkJX,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,51,318000,spotify:artist:5xUf6j4upBrXZPg6AI4MRK,0.000291,0.361,0.728,0.000112,6,0.0701,-8.519,1,0.0368,105.768,4,0.155,68,"['alternative metal', 'Rock']"
20,spotify:track:015IsLQFXbEm0f541N2qoX,Red Lights,Tiësto,A Town Called Paradise,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,spotify:album:7we1BNenehBwimeIkK0jL0,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,0,262200,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,0.000629,0.654,0.83,1.13e-06,10,0.121,-4.801,1,0.0366,124.989,4,0.548,85,"['Pop', 'house', 'EDM']"
21,spotify:track:0z8yrlXSjnI29Rv30RssNI,Shots - Broiler Remix,Imagine Dragons,Smoke + Mirrors,spotify:artist:53XhwfbYqKCa1cC15pYq2q,spotify:album:2XjPrtaAqvviEgSHCpzHmM,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,0,190999,spotify:artist:53XhwfbYqKCa1cC15pYq2q,0.436,0.733,0.777,0.0716,11,0.102,-7.076,0,0.0347,119.996,4,0.583,87,"['Pop', 'Rock']"
22,spotify:track:1I8tHoNBFTuoJAlh4hfVVE,Firestone,Kygo,Cloud Nine,spotify:artist:23fqKkggKUBHNkbKtXEls4,spotify:album:0uMIzWh1uEpHEBell4rlF8,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,76,271640,spotify:artist:23fqKkggKUBHNkbKtXEls4,0.393,0.704,0.634,3.17e-05,11,0.0952,-7.374,0,0.0428,113.927,4,0.411,80,"['Pop', 'house', 'EDM']"
23,spotify:track:2bNrvWD9d5Zn9tS8XvcaMk,I Could Be The One [Avicii vs Nicky Romero] - Nicktim / Radio Edit,Avicii,I Could Be The One [Avicii vs Nicky Romero],spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,spotify:album:0z7Mr85v0hPSX0VOUxP51W,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,2,208316,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,0.332,0.509,0.79,6.67e-05,6,0.316,-3.782,0,0.0374,127.946,4,0.638,81,"['Pop', 'EDM']"
24,spotify:track:4J7CKHCF3mdL4diUsmW8lq,Under Control,Calvin Harris,Motion,spotify:artist:7CajNmpbOovFoOoasH2HaY,spotify:album:48zisMeiXniWLzOQghbPqS,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,75,184280,spotify:artist:7CajNmpbOovFoOoasH2HaY,0.129,0.544,0.915,0.000914,8,0.115,-3.405,1,0.0841,126.094,4,0.51,86,"['Electro', 'Pop', 'house', 'uk dance', 'EDM']"
25,spotify:track:4WjH9Bzt3kx7z8kl0awxh4,Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is The Mission,spotify:artist:738wLrAtLtCtFOLvQBXOXp,spotify:album:2XBnxKeRZi76u2iyGcMych,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,26,176561,spotify:artist:738wLrAtLtCtFOLvQBXOXp,0.00346,0.723,0.809,0.00123,7,0.565,-3.081,0,0.0625,98.007,4,0.274,76,"['Electro', 'Pop', 'house', 'EDM']"
26,spotify:track:5masKPHeAOVNgxdLebIcK7,Stole the Show,Kygo,Cloud Nine,spotify:artist:23fqKkggKUBHNkbKtXEls4,spotify:album:0uMIzWh1uEpHEBell4rlF8,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,76,223187,spotify:artist:23fqKkggKUBHNkbKtXEls4,0.271,0.64,0.635,0.0,8,0.319,-7.565,0,0.226,100.034,4,0.475,80,"['Pop', 'house', 'EDM']"
27,spotify:track:6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,Motion,spotify:artist:7CajNmpbOovFoOoasH2HaY,spotify:album:48zisMeiXniWLzOQghbPqS,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,84,222533,spotify:artist:7CajNmpbOovFoOoasH2HaY,0.0211,0.596,0.856,0.0178,4,0.141,-3.556,0,0.0346,127.949,4,0.743,86,"['Electro', 'Pop', 'house', 'uk dance', 'EDM']"
28,spotify:track:6nsLzJfvp5OLd4mgqUJkpq,Waiting For Love,Avicii,Stories,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,spotify:album:5ttIIMPWCp2bvwsdAPcEXC,6,0,0,0.10074626865671642,0.02511913555477868,0.3585284280936455,0.0033428008447933333,0,230613,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,0.298,0.577,0.741,0.0,6,0.142,-3.83,0,0.0501,128.081,4,0.581,81,"['Pop', 'EDM']"
29,spotify:track:7FJP35tUJ2121EJsFpU1Gh,Beautiful Now,Zedd,True Colors,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,spotify:album:453l82SGKWDAlOpKkUSX1u,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191344,0,218293,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,0.0079,0.628,0.833,1.48e-05,11,0.074,-4.126,0,0.0282,128.003,4,0.56,73,"['Pop', 'EDM']"
30,spotify:track:7L59vVTpoS94JU3KEeolqt,Take Me Home (feat. Bebe Rexha),Cash Cash,"Blood, Sweat & 3 Years",spotify:artist:1LOB7jTeEV14pHai6EXSzF,spotify:album:0KQDN58Lz8CXOsfIG6tQ7X,1,16,16,0.03917910447761194,0.0215256739877503,0.3471502590673575,0.0038816700978035455,59,206320,spotify:artist:1LOB7jTeEV14pHai6EXSzF,0.0615,0.571,0.903,1.23e-06,7,0.186,-2.184,1,0.214,127.951,4,0.477,60,"['Electro', 'Pop', 'house', 'EDM']"
31,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,Outside,Calvin Harris,Motion,spotify:artist:7CajNmpbOovFoOoasH2HaY,spotify:album:48zisMeiXniWLzOQghbPqS,1,16,16,0.020522388059701493,0.0,0.29418221734357847,0.00017633891908191342,83,227267,spotify:artist:7CajNmpbOovFoOoasH2HaY,0.213,0.646,0.823,0.0,2,0.322,-4.123,0,0.0394,128.035,4,0.418,86,"['Electro', 'Pop', 'house', 'uk dance', 'EDM']"
32,spotify:track:027h5P3kCyktHv9dpHUBBS,Why Don't You Get A Job,The Offspring,Americana,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,spotify:album:5Jf9wK4k3A1rdH8YSBQg0J,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359764,0,172467,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,0.0812,0.767,0.876,1.36e-06,5,0.337,-4.435,1,0.0757,107.915,4,0.595,77,"['Rock', 'Pop', 'post-grunge', 'alternative metal', 'permanent wave']"
33,spotify:track:0Puj4YlTm6xNzDDADXHMI9,Sabotage,Beastie Boys,Ill Communication,spotify:artist:03r4iKL2g2442PT9n2UKsx,spotify:album:6lfjbwFGzQ6aSNP1N3JlT8,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359764,75,178440,spotify:artist:03r4iKL2g2442PT9n2UKsx,0.032,0.324,0.938,0.0321,6,0.0961,-7.332,0,0.102,168.131,4,0.543,69,"['Rap', 'Hip Hop', 'Rock']"
34,spotify:track:0d28khcov6AiegSCpG5TuT,Feel Good Inc,Gorillaz,Demon Days,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,spotify:album:0bUTHlWbkSQysoM3VsWldT,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359764,84,222640,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,0.00836,0.818,0.705,0.00233,6,0.613,-6.679,1,0.177,138.559,4,0.772,79,"['Hip Hop', 'Rock']"
35,spotify:track:1gGY6qfslDtJ4OoWQGKtkE,Hold On,Alabama Shakes,Boys & Girls,spotify:artist:16GcWuvvybAoaHr0NqT8Eh,spotify:album:0YcQyzstsSbcnLCk4h7AUh,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359764,0,226187,spotify:artist:16GcWuvvybAoaHr0NqT8Eh,0.206,0.574,0.667,0.352,5,0.0852,-5.425,1,0.0301,88.299,4,0.546,60,"['Indie', 'Rock']"
36,spotify:track:2hxV5yGCr1nIp5bQBxXL13,Maps,Yeah Yeah Yeahs,Fever To Tell,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,spotify:album:51aULewn2y20Ud0MIQONRg,2,15,15,0.048507462686567165,0.038598988908260655,0.3494132985658409,0.003523827398878897,0,219760,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,0.000803,0.523,0.939,0.201,7,0.544,-5.972,1,0.0619,119.839,4,0.164,65,"['Pop', 'Indie', 'Rock']"
37,spotify:track:2kWowW0k4oFymhkr7LmvzO,Come with Me Now,KONGOS,Lunatic,spotify:artist:58R5LHkK3vkmEyGUPOR5kS,spotify:album:71C65HI7THrlkpHHa24YJX,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,68,211960,spotify:artist:58R5LHkK3vkmEyGUPOR5kS,0.0311,0.654,0.726,6.35e-05,10,0.0618,-3.803,0,0.0401,103.987,4,0.728,53,['Rock']
38,spotify:track:37BTh5g05cxBIRYMbw8g2T,Rosanna,Toto,Toto IV,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,spotify:album:62U7xIHcID94o20Of5ea4D,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,73,331200,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,0.0208,0.365,0.513,0.000147,7,0.205,-13.034,0,0.0357,80.647,4,0.739,74,"['Mellow', 'Rock']"
39,spotify:track:4YPhn26bIFm2KUkL1VLzQG,Say It Ain't So,Weezer,Weezer,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,spotify:album:33CmI2lR8PnQwz6133Mc7l,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,0,256880,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,0.00328,0.635,0.435,6.78e-06,3,0.071,-7.521,1,0.031,76.098,4,0.459,73,"['permanent wave', 'Pop', 'Rock']"
40,spotify:track:4ya82vEkIk1HJpuPDhESOC,Come & Get Your Love (Re-Recorded),Redbone,70s Classics,spotify:artist:0w7HLMvZOHatWVbAKee1zF,spotify:album:0BHvTtxYQvZA9Ya6KewuX1,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,0,177685,spotify:artist:0w7HLMvZOHatWVbAKee1zF,0.0427,0.742,0.851,0.00329,2,0.0562,-6.372,1,0.0564,104.132,4,0.966,62,[]
41,spotify:track:5VGlqQANWDKJFl0MBG3sg2,Use Somebody,Kings of Leon,Only By The Night,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,spotify:album:5CZR6ljD0x9fTiS4mh9wMp,2,11,11,0.05970149253731343,0.010392446977396082,0.30333899264289754,0.0001270435708932323,78,230760,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,0.00552,0.276,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173,76,['Rock']
42,spotify:track:5nkYHBWXu7KCgcdwP6jcB1,What I Got,Sublime,Sublime,spotify:artist:0EdvGhlC1FkGItLOWQzG4J,spotify:album:4R3tXoorBpHji6Jdms8a4Q,5,6,6,0.07835820895522388,0.04273010537818986,0.37746478873239436,0.0005920444205128977,46,171067,spotify:artist:0EdvGhlC1FkGItLOWQzG4J,0.0128,0.799,0.696,0.000333,7,0.331,-7.513,1,0.0859,95.637,4,0.62,71,"['Rap', 'Rock']"
43,spotify:track:67awxiNHNyjMXhVgsHuIrs,Turn Down for What,DJ Snake,Turn Down for What,spotify:artist:540vIaP2JwjQb9dm3aArA4,spotify:album:3zo0Hxh9rjJsdw2JAKReE3,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,71,213733,spotify:artist:540vIaP2JwjQb9dm3aArA4,0.00107,0.818,0.799,0.128,1,0.057,-4.1,0,0.156,100.014,4,0.0815,78,"['Rap', 'Electro', 'Pop', 'EDM']"
44,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,Back To Black,spotify:artist:6Q192DXotxtaysaqNPy5yR,spotify:album:0E4xv5gPjykrwBgBZzI8XG,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,76,233733,spotify:artist:6Q192DXotxtaysaqNPy5yR,0.744,0.772,0.371,0.0,5,0.167,-5.743,0,0.0348,96.574,4,0.684,76,[]
45,spotify:track:6ooluO7DiEhI1zmK94nRCM,Take Me Out,Franz Ferdinand,Franz Ferdinand,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,spotify:album:0mUEGMT2YlzCWGeWOJjBKD,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,3,237027,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,0.000423,0.278,0.676,0.000899,9,0.136,-8.821,1,0.0371,104.545,4,0.494,66,"['Indie', 'Rock']"
46,spotify:track:7hVhRCDV100Jq26NGR7adw,Good Times Roll,The Cars,The Cars,spotify:artist:6DCIj8jNaNpBz8e5oKFPtp,spotify:album:4tJPWT4r4FSKwy784Qs1Fq,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,61,225853,spotify:artist:6DCIj8jNaNpBz8e5oKFPtp,0.0951,0.607,0.662,8.27e-05,4,0.125,-9.456,1,0.0278,107.643,4,0.629,65,"['Rock', 'Pop', 'singer-songwriter', 'Mellow', 'permanent wave']"
47,spotify:track:7jTKLKs3NDmDnJHan5M2A0,Down Under,Men At Work,Super Hits,spotify:artist:0f3EsoviYnRKTkmayI3cux,spotify:album:03RdxRparvZ2qgWFf1vGeD,2,15,15,0.027985074626865673,0.0,0.3004484304932735,0.00011160098011359762,55,223040,spotify:artist:0f3EsoviYnRKTkmayI3cux,0.0521,0.746,0.683,0.0169,11,0.0466,-7.416,0,0.0281,107.314,4,0.815,67,"['Pop', 'Mellow', 'Rock']"
48,spotify:track:03CLsFk6JSz301bKuukPSD,Retrograde,James Blake,Overgrown,spotify:artist:53KwLdlmrlCelAZMaLVZqU,spotify:album:12ExNn0hx85F8UNzoKCyCD,5,18,19,0.018656716417910446,0.0,0.26961770623742454,1.2068606609857811e-05,0,223600,spotify:artist:53KwLdlmrlCelAZMaLVZqU,0.869,0.324,0.256,0.078,7,0.134,-11.229,0,0.042,77.906,4,0.182,69,"['Pop', 'Indie']"
49,spotify:track:10VBBaul4zVD0reteuIHM2,From Time,Drake,Nothing Was The Same,spotify:artist:3TVXtAsR1Inumwj472S9r4,spotify:album:2gXTTQ713nCELgPOS0qWyt,5,18,19,0.018656716417910446,0.0,0.26961770623742454,1.2068606609857811e-05,0,322160,spotify:artist:3TVXtAsR1Inumwj472S9r4,0.626,0.738,0.491,0.0,1,0.126,-9.726,0,0.413,94.378,4,0.448,96,"['Rap', 'Pop', 'Hip Hop']"
50,spotify:track:1jyddn36UN4tVsJGtaJfem,You Are the Best Thing,Ray LaMontagne,Gossip In The Grain,spotify:artist:6DoH7ywD5BcQvjloe9OcIj,spotify:album:2CbLBSlkvh2vR4JRLDRQso,5,18,19,0.018656716417910446,0.0,0.26961770623742454,1.2068606609857811e-05,68,231840,spotify:artist:6DoH7ywD5BcQvjloe9OcIj,0.0304,0.578,0.727,1.99e-05,10,0.172,-4.872,1,0.0332,170.593,4,0.885,63,"['stomp and holler', 'Pop', 'Indie', 'Mellow']"
51,spotify:track:1mqlc0vEP9mU1kZgTi6LIQ,September,"Earth, Wind & Fire","Now, Then & Forever",spotify:artist:4QQgXkCYTt3BlENzhyNETg,spotify:album:2dZn2ZVkJYFIyXsVmjyp9Y,5,18,19,0.018656716417910446,0.0,0.26961770623742454,1.2068606609857811e-05,0,216520,spotify:artist:4QQgXkCYTt3BlENzhyNETg,0.183,0.693,0.911,0.000107,9,0.3,-3.691,1,0.0305,125.895,4,0.982,73,[]
52,spotify:track:2udw7RDkldLFIPG9WYdVtT,Sir Duke,Stevie Wonder,Songs In The Key Of Life,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,spotify:album:0BBWJ3L9fhkmNLdt4zs4fu,5,18,19,0.018656716417910446,0.0,0.26961770623742454,1.2068606609857811e-05,0,232760,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,0.16,0.588,0.568,0.0,6,0.0792,-9.766,1,0.0672,106.938,4,0.952,75,[]
53,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,Mark Ronson,Uptown Special,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,spotify:album:3vLaOYCNCzngDf8QdBg2V1,5,18,19,0.018656716417910446,0.0,0.26961770623742454,1.2068606609857811e-05,84,269667,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,0.00801,0.856,0.609,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,4,0.928,74,['Pop']
54,spotify:track:41on8RwRh22IHcChAN2gm8,American Boy (feat. Kanye West),Estelle,Shine,spotify:artist:5T0MSzX9RC5NA6gAI6irSn,spotify:album:4nAIqmKELnBEXEkYg1pMic,5,18,19,0.018656716417910446,0.0,0.26961770623742454,1.2068606609857811e-05,0,284733,spotify:artist:5T0MSzX9RC5NA6gAI6irSn,0.171,0.727,0.729,0.0,0,0.07,-2.99,1,0.326,117.932,4,0.512,66,['R&B']
